      日期      ,      时间      ,    数值    ,    限值    ,    类型    ,    确认    ,            描述            
2020/04/17,10:12:34,异常,正常->异常,开关量报警,未确认,联络开关通讯状态
2020/04/17,12:05:36,关闭,关闭->打开,开关量报警,恢复,地面变电所通讯状态
2020/04/18,05:30:42,正常,正常->异常,开关量报警,恢复,2动力总开关通讯状态
2020/04/18,05:31:00,正常,正常->异常,开关量报警,恢复,2局扇开关通讯状态
2020/04/18,05:29:45,正常,正常->异常,开关量报警,恢复,1回路局扇总开关通讯状态
2020/04/18,05:30:00,正常,正常->异常,开关量报警,恢复,1回路动力总开关通讯状态
2020/04/18,05:30:12,正常,正常->异常,开关量报警,恢复,高压1回路总开关通讯状态
2020/04/18,05:30:33,正常,正常->异常,开关量报警,恢复,高压2回路总开关通讯状态
